job98	4160	14	96	0	211429196
job99	4160	0	76	0	1159261
job100	4161	1	252	0	1610958629
job101	4163	2	18993455034	19566109245	4957697462
job102	4179	16	1067970069	170106575	32561328
job103	4191	12	91266	42	36
job104	4205	14	51686	0	3172109431
job105	4224	19	1680	0	547
job106	4247	23	4589781134	0	117485
job107	4271	24	91266	111593	11313
job108	4281	10	72812	0	4991
job109	4309	28	2125935765	10103332422	2350134520
job110	4317	8	91266	114226	8305
job111	4361	44	19364	0	41849
job112	4375	14	51686	0	3432970679
job113	4456	81	8688	0	574345303
job114	4469	13	120369703	0	120369957
job115	4504	35	1985783420	2226671516	295632499
job116	4504	0	20102129	20215289	1454168
job117	4517	13	94	0	575504381
job118	4576	59	51686	0	4030205183
job119	4610	34	3601530	5689974	1469042
job120	4632	22	91	0	18596373
job121	4644	12	121838618	582428149	120958113
job122	4654	10	10240	0	726419869
job123	4680	26	922874	2470407	127
job124	4711	31	2745581591	13403441298	2631449304
job125	4747	36	0	0	127
job126	4764	17	18596373	0	5468809
job127	4766	2	0	0	127
job128	4783	17	8602	0	375342384
job129	4793	10	5468555	20032109	5558243
job130	4807	14	21233	0	7023
job131	4831	24	16861899	17558751	2306377
job132	4832	1	51772	0	5157872029
job133	4912	80	3576	0	676965742
job134	4927	15	274129414	83761647	8679435
job135	4941	14	10240	0	287672578
job136	4990	49	51686	0	3214900744
job137	4997	7	676965742	0	74124211
job138	5023	26	97	0	19845156
job139	5054	31	10240	0	108650920
job140	5061	7	31137	127286	27374
job141	5061	0	94	0	1019772883
job142	5062	1	84	0	292757647
job143	5062	0	76	0	1141169
job144	5063	1	110	0	46914980
job145	5064	1	4925	0	105529893
job146	5064	0	51200	0	78467970
job147	5066	2	18972363063	19544126831	4956446918
job148	5070	4	78	0	91192253
job149	5098	28	252	0	1811808714
job150	5108	10	4928	0	1321970
job151	5115	7	14035149712	3933199675	72342569
job152	5138	23	27247	199371	27374
job153	5148	10	8688	0	422323215
job154	5154	6	51000	0	2297553
job155	5162	8	4928	0	2344690
job156	5162	0	51686	0	3513977255
job157	5212	50	4928	0	1388449
job158	5222	10	252	0	286231295
job159	5222	0	49500	0	1406343
job160	5239	17	4682	0	1184140
job161	5253	14	19845156	0	7368251
job162	5267	14	266608191	955955768	100821032
job163	5268	1	7367997	21218320	7445971
job164	5290	22	4368	0	274
job165	5311	21	5318589521	7216878011	1648681610
job166	5342	31	652	688	36407
job167	5343	1	51686	0	3741162678
job168	5362	19	82171866	82976671	25128796
job169	5383	21	6210113	0	2067583
job170	5420	37	1566158	3726610	1527946
job171	5441	21	8602	0	339920678
job172	5483	42	51686	0	2913509054
job173	5484	1	807667	856941	132801
job174	5485	1	13003960	23740449	12806266
job175	5528	43	1527819	40	37
job176	5534	6	1527819	3668518	16658
job177	5563	29	1527819	14762	5885
job178	5600	37	22289	0	47672
job179	5631	31	51686	0	3043473338
job180	5636	5	400682386	1578082496	686919594
job181	5697	61	14818003	0	1533566
job182	5745	48	6478	6698	37859
job183	5839	94	10240	0	766010568
job184	5926	87	8688	0	576914641
job185	5960	34	76	0	1192811
job186	5960	0	252	0	1333687828
job187	6004	44	6900	7150	40142
job188	6019	15	232	0	344676721
job189	6032	13	51858	0	8437797024
job190	6166	134	110	0	30353203
job191	6270	104	51772	0	5080149422
job192	6282	12	10240	0	448345869
job193	6284	2	11136143796	12853285052	1754972780
job194	6287	3	20836495001	22813145337	4798949927
job195	6335	48	8688	0	480602621
job196	6459	124	51686	0	4037904006
job197	6487	28	10240	0	207666067
job198	6594	107	46450931	0	48505245
job199	6633	39	10240	0	150512649
job200	6640	7	51686	0	3940050644
job201	6650	10	8688	0	400173414
job202	6673	23	97	0	79653755
job203	6702	29	48493942	338672091	49424523
job204	6815	113	79653755	0	27321375
job205	6823	8	51686	0	3980111388
job206	6836	13	10988088864	313006968	9077159
job207	6853	17	1203984	2816111	1163669
job208	6854	1	27321121	91447487	27557255
job209	6861	7	76	0	1193171
job210	6861	0	94	0	1072594897
job211	6862	1	250	0	1792286221
job212	6862	0	62	0	1000000799
job213	6904	42	62	0	1000000195
job214	6926	22	1163542	41	37
job215	6931	5	8602	0	346968171
job216	6943	12	62	0	1000000097
